Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,Locality,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/10956216,1.0,3,0.0,brussels,non_flood_zone,0.0,0.0,0.0,usa_installed,200.0,ixelles,200.0,2.0,B,1050,2700,10956216,brussels,brussels,6.0,2.0,good,apartment,0.0,0.0,1.0,3.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/saint-gilles/1060/10955785,1.0,0,0.0,brussels,null,0.0,0.0,0.0,installed,35.0,saint-gilles,0.0,2.0,NULL,1060,750,10955785,brussels,brussels,0.0,1.0,just_renovated,flat_studio,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/etterbeek/1040/10954247,1.0,1,1920.0,brussels,null,0.0,0.0,0.0,installed,55.0,etterbeek,200.0,2.0,NULL,1040,900,10954247,brussels,brussels,0.0,0.0,null,duplex,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/eernegem/8480/10947228,1.0,2,2009.0,oostend,null,0.0,0.0,0.0,null,85.0,eernegem,30.0,0.0,B,8480,820,10947228,west_flanders,flanders,1.0,0.0,good,apartment,0.0,0.0,1.0,2.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/ixelles/1050/10941482,1.0,3,0.0,brussels,null,0.0,0.0,0.0,null,150.0,ixelles,0.0,0.0,G,1050,3800,10941482,brussels,brussels,3.0,1.0,good,penthouse,0.0,0.0,1.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/gent/9000/10941191,1.0,2,2018.0,gent,null,0.0,0.0,0.0,null,81.0,gent,114.0,0.0,NULL,9000,1200,10941191,east_flanders,flanders,5.0,0.0,good,service_flat,0.0,0.0,0.0,0.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/denderhoutem/9450/10941046,1.0,1,0.0,aalst,non_flood_zone,0.0,0.0,0.0,null,70.0,denderhoutem,0.0,0.0,B,9450,840,10941046,east_flanders,flanders,2.0,0.0,just_renovated,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/haaltert/9450/10941033,1.0,1,0.0,aalst,non_flood_zone,0.0,0.0,0.0,null,72.0,haaltert,0.0,0.0,B,9450,840,10941033,east_flanders,flanders,2.0,0.0,just_renovated,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/sint-lievens-houtem/9550/10941018,1.0,2,0.0,aalst,non_flood_zone,0.0,0.0,0.0,null,70.0,sint-lievens-houtem,0.0,0.0,B,9550,840,10941018,east_flanders,flanders,3.0,0.0,just_renovated,apartment,0.0,0.0,1.0,1.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/uccle/1180/10938731,3.0,3,2014.0,brussels,non_flood_zone,0.0,0.0,0.0,usa_hyper_equipped,340.0,uccle,0.0,3.0,C,1180,7490,10938731,brussels,brussels,0.0,0.0,good,duplex,0.0,0.0,1.0,5.0,2,residential_monthly_rent
https://www.immoweb.be/en/classified/apartment/for-rent/lanaken/3620/10936682,1.0,2,0.0,tongeren,non_flood_zone,0.0,0.0,0.0,installed,106.0,lanaken,0.0,0.0,NULL,3620,1300,10936682,limburg,flanders,0.0,0.0,null,apartment,0.0,0.0,0.0,1.0,2,residential_monthly_rent
